,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrIn-Tekeze River,RvrIn-Genale River
8678,0.0,0.0,0.0,0.0,0.045,0.067,0.0,0.0
8679,0.0,0.0,0.0,0.0,0.03,0.039,0.0,0.0
8680,0.0,0.0,0.0,0.0,0.018,0.019,0.0,0.0
8681,0.0,0.0,0.0,0.0,0.012,0.014,0.0,0.0
8682,0.0,0.0,0.0,0.0,0.008,0.01,0.0,0.0
8683,0.0,0.0,0.0,0.0,0.005,0.008,0.0,0.0
8684,0.0,0.0,0.0,0.0,0.007,0.015,0.0,0.0
8685,0.0,0.0,0.0,0.0,0.007,0.02,0.0,0.0
8686,0.0,0.0,0.0,0.0,0.007,0.019,0.0,0.0
8687,0.0,0.0,0.0,0.0,0.007,0.014,0.0,0.0
8688,0.0,0.0,0.0,0.0,0.007,0.014,0.0,0.0
8689,0.0,0.0,0.0,0.0,0.011,0.022,0.0,0.0
8690,0.0,0.0,0.0,0.0,0.02,0.051,0.0,0.0
8691,0.0,0.0,0.0,0.0,0.036,0.088,0.0,0.0
8692,0.0,0.0,0.0,0.0,0.055,0.138,0.0,0.0
8693,0.0,0.0,0.0,0.0,0.066,0.221,0.0,0.0
8694,0.0,0.0,0.0,0.0,0.083,0.259,0.0,0.0
8695,0.0,0.0,0.0,0.0,0.087,0.227,0.0,0.0
8696,0.0,0.0,0.0,0.0,0.106,0.215,0.0,0.0
8697,0.0,0.0,0.0,0.0,0.131,0.279,0.0,0.0
8698,0.0,0.0,0.0,0.0,0.166,0.304,0.0,0.0
8699,0.0,0.0,0.0,0.0,0.14,0.23,0.0,0.0
8700,0.0,0.0,0.0,0.0,0.099,0.149,0.0,0.0
8701,0.0,0.0,0.001,0.0,0.073,0.095,0.0,0.0
8702,0.0,0.0,0.001,0.0,0.066,0.048,0.0,0.0
8703,0.0,0.0,0.001,0.0,0.053,0.035,0.0,0.0
8704,0.0,0.0,0.001,0.0,0.046,0.036,0.0,0.0
8705,0.0,0.0,0.001,0.0,0.022,0.017,0.0,0.0
8706,0.0,0.0,0.001,0.0,0.031,0.031,0.0,0.0
8707,0.0,0.0,0.001,0.0,0.028,0.021,0.0,0.0
8708,0.0,0.0,0.001,0.0,0.04,0.042,0.0,0.0
8709,0.0,0.0,0.001,0.0,0.054,0.072,0.0,0.0
8710,0.0,0.0,0.001,0.0,0.074,0.139,0.0,0.0
8711,0.0,0.0,0.001,0.0,0.085,0.19,0.0,0.0
8712,0.0,0.0,0.001,0.0,0.112,0.213,0.0,0.0
8713,0.0,0.0,0.001,0.0,0.139,0.231,0.0,0.0
8714,0.0,0.0,0.001,0.0,0.144,0.258,0.0,0.0
8715,0.0,0.0,0.001,0.0,0.118,0.215,0.0,0.0
8716,0.0,0.0,0.0,0.0,0.091,0.174,0.0,0.0
8717,0.0,0.0,0.0,0.0,0.052,0.097,0.0,0.0
8718,0.0,0.0,0.0,0.0,0.032,0.061,0.0,0.0
8719,0.0,0.0,0.0,0.0,0.036,0.04,0.0,0.0
8720,0.0,0.0,0.0,0.0,0.026,0.012,0.0,0.0
