,Ethiopia Demand,Export Demand
417,2479.270163,447.9270163
418,2495.187609,449.5187609
419,2497.597681,449.7597681
420,2473.674273,447.3674273
421,2442.712655,444.2712655
422,2438.82209,443.882209
423,2466.080568,446.6080568
424,2488.647254,448.8647254
425,2496.760955,449.6760955
426,2526.83403,452.683403
427,2623.853844,462.3853844
428,2527.378455,452.7378455
429,2352.812166,435.2812166
430,2205.038372,420.5038372
431,2111.032507,411.1032507
432,2047.698155,404.7698155
433,2022.299407,402.2299407
434,2019.920541,401.9920541
435,2035.323909,403.5323909
436,2121.460755,412.1460755
437,2236.624767,423.6624767
438,2291.84666,429.184666
439,2334.209334,433.4209334
440,2387.1225,438.71225
441,2402.691439,440.2691439
442,2401.221538,440.1221538
443,2407.94111,440.794111
444,2394.043905,439.4043905
445,2379.667549,437.9667549
446,2381.733788,438.1733788
447,2403.166582,440.3166582
448,2429.915275,442.9915275
449,2444.122912,444.4122912
450,2490.249325,449.0249325
451,2602.242311,460.2242311
452,2511.000275,451.1000275
453,2309.550355,430.9550355
454,2164.810933,416.4810933
455,2065.529058,406.5529058
456,1988.587511,398.8587511
457,1953.923897,395.3923897
458,1947.222743,394.7222743
459,1970.492173,397.0492173
460,2036.326777,403.6326777
461,2145.792887,414.5792887
462,2227.36763,422.736763
463,2301.544108,430.1544108
464,2367.727031,436.7727031
465,2401.667862,440.1667862
466,2419.500006,441.9500006
467,2440.16068,444.016068
468,2434.992601,443.4992601
469,2430.57851,443.057851
470,2436.20236,443.620236
471,2442.071369,444.2071369
472,2466.350633,446.6350633
473,2506.997103,450.6997103
474,2543.440764,454.3440764
475,2635.012604,463.5012604
476,2535.630338,453.5630338
477,2323.677831,432.3677831
478,2193.066648,419.3066648
479,2090.025233,409.0025233
480,2030.877754,403.0877754
481,2008.776668,400.8776668
482,1999.642921,399.9642921
483,2021.562691,402.1562691
484,2071.748865,407.1748865
485,2182.399922,418.2399922
486,2254.926424,425.4926424
487,2351.088614,435.1088614
488,2451.944408,445.1944408
489,2500.995543,450.0995543
490,2499.371906,449.9371906
491,2504.075243,450.4075243
492,2496.684325,449.6684325
493,2481.633283,448.1633283
494,2473.83908,447.383908
495,2481.779385,448.1779385
496,2486.693049,448.6693049
497,2483.11139,448.311139
498,2518.383367,451.8383367
499,2604.742659,460.4742659
500,2531.188763,453.1188763
501,2343.083607,434.3083607
502,2178.163808,417.8163808
503,2086.161389,408.6161389
504,2049.661807,404.9661807
505,2005.422799,400.5422799
506,2000.345855,400.0345855
507,2011.711888,401.1711888
508,2072.936771,407.2936771
509,2170.487365,417.0487365
510,2255.450332,425.5450332
511,2350.113802,435.0113802
512,2444.046091,444.4046091
513,2481.921194,448.1921194
514,2498.422573,449.8422573
515,2500.61602,450.061602
516,2473.781918,447.3781918
517,2447.718599,444.7718599
518,2434.858236,443.4858236
519,2439.346666,443.9346666
520,2456.676469,445.6676469
521,2461.414638,446.1414638
522,2459.193231,445.9193231
523,2509.166502,450.9166502
524,2453.470611,445.3470611
525,2332.694868,433.2694868
526,2219.808184,421.9808184
527,2136.875193,413.6875193
528,2095.806542,409.5806542
529,2062.502321,406.2502321
530,2042.675128,404.2675128
531,2046.324161,404.6324161
532,2081.07099,408.107099
533,2139.033903,413.9033903
534,2232.254574,423.2254574
535,2341.759142,434.1759142
536,2437.663195,443.7663195
537,2443.807517,444.3807517
538,2425.457764,442.5457764
539,2399.749061,439.9749061
540,2357.249637,435.7249637
541,2294.743231,429.4743231
542,2253.18894,425.318894
543,2236.339338,423.6339338
544,2253.028523,425.3028523
545,2283.89433,428.389433
546,2347.698577,434.7698577
547,2456.010276,445.6010276
548,2362.623462,436.2623462
549,2200.355552,420.0355552
550,2094.626938,409.4626938
551,2011.114404,401.1114404
552,1924.991109,392.4991109
553,1880.808595,388.0808595
554,1859.801226,385.9801226
555,1856.592505,385.6592505
556,1875.682028,387.5682028
557,1906.025072,390.6025072
558,1987.878565,398.7878565
559,2098.942355,409.8942355
560,2182.649089,418.2649089
561,2204.748648,420.4748648
562,2187.099824,418.7099824
563,2175.080099,417.5080099
564,2164.160772,416.4160772
565,2140.74753,414.074753
566,2118.092571,411.8092571
567,2114.956854,411.4956854
568,2138.669744,413.8669744
569,2175.227156,417.5227156
570,2239.285246,423.9285246
571,2369.415274,436.9415274
572,2302.75654,430.275654
573,2155.768417,415.5768417
574,2008.519771,400.8519771
575,1927.496801,392.7496801
576,1856.779833,385.6779833
577,1833.142427,383.3142427
578,1832.093085,383.2093085
579,1852.023341,385.2023341
580,1951.149094,395.1149094
581,2113.103231,411.3103231
582,2209.469354,420.9469354
583,2299.951008,429.9951008
584,2381.599233,438.1599233
585,2423.461952,442.3461952
586,2432.057381,443.2057381
587,2432.309696,443.2309696
588,2431.52851,443.152851
589,2423.899878,442.3899878
590,2427.293636,442.7293636
591,2451.250731,445.1250731
592,2482.858407,448.2858407
593,2483.749432,448.3749432
594,2520.236799,452.0236799
595,2572.86091,457.286091
596,2471.525678,447.1525678
597,2305.747491,430.5747491
598,2167.387624,416.7387624
599,2082.229217,408.2229217
600,1996.613608,399.6613608
601,1960.46282,396.046282
602,1953.976669,395.3976669
603,1972.933736,397.2933736
604,2038.86816,403.886816
605,2135.161661,413.5161661
606,2221.880912,422.1880912
607,2316.787823,431.6787823
608,2423.928029,442.3928029
609,2451.105964,445.1105964
610,2475.828021,447.5828021
611,2483.78455,448.378455
612,2485.382325,448.5382325
613,2472.361545,447.2361545
614,2465.034183,446.5034183
615,2471.988702,447.1988702
616,2491.180144,449.1180144
617,2511.20583,451.120583
618,2537.168184,453.7168184
619,2599.536313,459.9536313
620,2520.792962,452.0792962
