,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
4733,-9.967886962106617,-35.8490704142878,0.0,-31.79813401187447,-0.0,-432.19795037756205,-479.0823894282632,-9.988026819923371,-1.9552058111380146,-147.92663476874003,0.0,-76.67124542124542
4734,-6.473988439306359,-35.358659054311225,0.0,-25.165394402035624,-0.0,-310.65803667745416,-740.3671116504854,-6.487068965517241,-1.1319612590799033,-165.86921850079744,-57.22110290276845,-84.99999999999999
4735,-3.699421965317919,-19.27316644707949,-195.67421790722761,-16.289228159457167,-0.0,0.0,-750.0000000004213,-3.7068965517241375,-0.6174334140435837,-131.97767145135566,-87.77106186105513,-84.99999999999999
4736,-2.363519588953115,-7.503293807641633,-123.55717367853289,-9.949109414758269,-0.0,0.0,-545.7625404530744,-2.368295019157088,-0.3087167070217918,-100.07974481658692,-59.88135213790015,-84.99999999999999
4737,-3.288375080282595,-4.707949055775143,-83.71628910463862,-6.340118744698898,-0.0,0.0,-372.90149676375404,-3.2950191570881224,-0.41162227602905577,-83.33333333333333,-23.839265726438327,-84.99999999999999
4738,-4.007707129094412,-4.021373151807934,-55.978964401294505,-4.096692111959288,-0.0,0.0,-237.72923408845733,-4.015804597701149,-0.7203389830508475,-69.77671451355661,0.0,-74.46581196581195
4739,-6.268464996788696,-3.334797247840726,-56.48327939590075,-4.48685326547922,-0.0,0.0,-140.97053667745413,-6.281130268199234,-1.1319612590799033,-53.03030303030304,0.0,-41.64377289377289
4740,-7.193320488118177,-2.746303615868833,-70.09978425026969,-5.657336726039016,-0.0,0.0,-94.94673678532901,-7.207854406130268,-1.8523002421307506,-37.87878787878788,0.0,-26.72466422466422
4741,-7.193320488118177,-2.2558922558922556,-82.20334412081985,-6.73027989821883,-0.0,0.0,-80.8134439050701,-7.207854406130268,-2.3668280871670704,-29.505582137161085,0.0,-22.962454212454208
4742,-6.782273603082852,-2.2068511198945977,-82.20334412081984,-6.925360474978795,-0.0,0.0,-60.519484897518865,-6.795977011494253,-2.675544794188862,-24.322169059011166,0.0,-15.827228327228326
4743,-6.268464996788696,-2.5991802078758597,-66.56957928802589,-5.4622561492790505,-0.0,0.0,-52.54685814455231,-6.281130268199234,-2.675544794188862,-21.13237639553429,0.0,-11.935286935286934
4744,-5.65189466923571,-3.4328795198360416,-55.9789644012945,-4.194232400339271,-0.0,0.0,-61.96905339805825,-5.66331417624521,-2.3668280871670704,-24.720893141945776,0.0,-13.102869352869352
4745,-6.473988439306359,-5.4435660957400085,-61.52642934196332,-3.7065309584393553,-0.0,0.0,-100.02022653721681,-6.487068965517241,-2.161016949152543,-37.48006379585327,0.0,-21.405677655677653
4746,-8.52922286448298,-9.317815839554969,-73.6299892125135,-3.2188295165394405,-0.0,0.0,-176.12257281553394,-8.546455938697319,-2.0581113801452786,-93.70015948963318,0.0,-38.40048840048839
4747,-11.30378933847142,-11.426584687454252,-102.37594390507013,-3.413910093299407,-0.0,0.0,-293.53762135922324,-11.32662835249042,-2.2639225181598066,-222.8867623604466,0.0,-74.8550061050061
4748,-13.25626204238921,-10.887132191480017,-128.60032362459546,-4.096692111959288,-0.0,0.0,-562.4325782092772,-13.283045977011493,-2.7784503631961264,-300.0,-57.907618834415345,-84.99999999999999
4749,-13.667308927424536,-10.494803103498755,-148.77292340884574,-5.169635284139101,-0.0,0.0,-750.0000000004213,-13.69492337164751,-3.9104116222760292,-300.0,-148.18446384598164,-84.99999999999999
4750,-13.15350032113038,-10.15151515151515,-165.91963322545848,-6.437659033078881,-0.0,0.0,-750.0000000004213,-13.18007662835249,-4.733656174334141,-300.0,-162.77292739347808,-84.99999999999999
4751,-12.434168272318562,-9.07261015956668,-178.52750809061487,-8.388464800678541,-0.0,0.0,-612.8050836030204,-12.459291187739463,-4.939467312348669,-300.0,-73.01096933064696,-84.99999999999999
4752,-11.612074502247912,-8.533157663592444,-180.5447680690399,-9.168787107718405,-0.0,0.0,-348.6212243797195,-11.635536398467433,-4.424939467312349,-300.0,-11.39616446533841,-84.99999999999999
4753,-11.098265895953757,-9.317815839554969,-187.10086299892126,-9.461407972858355,-0.0,0.0,-217.4352750809061,-11.120689655172413,-3.601694915254238,-258.7719298245614,0.0,-53.189865689865684
4754,-10.892742453436094,-14.369052847313714,-186.09223300970874,-9.656488549618322,-0.0,0.0,-186.26955231930958,-10.914750957854405,-2.88135593220339,-181.02073365231263,0.0,-28.670634920634917
4755,-10.584457289659602,-22.5098814229249,-181.5533980582524,-11.314673452078033,-0.0,0.0,-227.2198624595469,-10.605842911877394,-2.4697336561743346,-134.76874003189795,0.0,-21.794871794871796
4756,-9.762363519588954,-28.29673547064851,-168.44120819848973,-12.387616624257847,-0.0,0.0,-301.5102481121898,-9.782088122605364,-2.0581113801452786,-116.8261562998405,0.0,-33.08150183150183
4757,-6.8850353243416835,-25.010979358805443,-141.2081984897519,-12.19253604749788,-0.0,0.0,-379.78694714131603,-6.898946360153257,-1.543583535108959,-96.88995215311004,0.0,-69.79548229548229
4758,-3.493898522800257,-13.878641487337138,-100.86299892125135,-9.949109414758269,-0.0,0.0,-454.80211704422857,-3.5009578544061304,-0.9261501210653753,-76.55502392344498,-27.18603089321692,-84.99999999999999
4759,-1.2331406551059731,-5.492607231737666,-56.98759439050701,-5.559796437659034,-0.0,0.0,-442.48078478964396,-1.235632183908046,-0.41162227602905577,-51.4354066985646,-38.94261622266995,-84.99999999999999
4760,-0.7193320488118177,-3.2367149758454103,-31.26752966558792,-2.633587786259542,-0.0,0.0,-297.5239347357065,-0.7207854406130269,-0.20581113801452788,-26.714513556618822,-8.564286247294978,-84.99999999999999
4761,-1.2331406551059731,-4.11945542380325,-21.685544768069036,-1.5606446140797288,-0.0,0.0,-152.20469255663428,-1.235632183908046,-0.20581113801452788,-14.354066985645932,0.0,-43.58974358974359
4762,-1.9524727039177907,-4.462743375786854,-19.163969795037755,-1.0729431721798133,-0.0,0.0,-76.10234627831714,-1.9564176245210727,-0.41162227602905577,-9.968102073365232,0.0,-15.438034188034186
4763,-3.0828516377649327,-5.492607231737666,-20.17259978425027,-0.8778625954198472,-0.0,0.0,-56.170779395900745,-3.089080459770115,-0.8232445520581115,-9.968102073365232,0.0,-5.578449328449327
